source,target,key,relationship_type,layer,confidence,trial_id,evidence_text,direction,temporal_marker
herbs,"B 2192 no 2, witch 003, Claudon femme Jean Bregeat, de Sallonne",0,TESTIFIED_AGAINST,accusation,0.95,w003,Witness 26 in trial w003,directed,1612.0
above.,"B 3804 no 1; Witch 066, Nicolas Adam de Dompierre",0,TESTIFIED_AGAINST,accusation,0.95,w066,Witness 4 in trial w066,directed,1620.0
above.,Demenge Durand demeurant a Dompierre,0,CO_WITNESS,co_presence,0.5,w066,Both witnessed in w066,undirected,
above.,Nicolas Ozele de Cugniécourt,0,CO_WITNESS,co_presence,0.5,w066,Both witnessed in w066,undirected,
above.,Jean Ozele de Vimesnil,0,CO_WITNESS,co_presence,0.5,w066,Both witnessed in w066,undirected,
above.,Nicolas Jean Blot de Dompierre,0,CO_WITNESS,co_presence,0.5,w066,Both witnessed in w066,undirected,
above.,Clement Villemin jeune homme de Grandiviller,0,CO_WITNESS,co_presence,0.5,w066,Both witnessed in w066,undirected,
had been crying in poisle,"B 6723 no 2; witch 108, Jean Cachette de Flin",0,TESTIFIED_AGAINST,accusation,0.95,w108,Witness 13 in trial w108,directed,1603.0
?,"B 8700 no 4; witch 239, Claudette femme Bastien Delat, de St Dié",0,TESTIFIED_AGAINST,accusation,0.95,w239,Witness 2 in trial w239,directed,1608.0
?,"B 8702 no 1; witch 240, Jean Gregoire Mathis de Bertrimoutier",0,TESTIFIED_AGAINST,accusation,0.95,w240,Witness 9 in trial w240,directed,1609.0
?,"B 8702 no 8; witch 247, Sebille femme Etienne Pescheur, de La Neuveville-les-Raon",0,TESTIFIED_AGAINST,accusation,0.95,w247,Witness 16 in trial w247,directed,1609.0
?,Marion femme Colas Aubertin,0,CO_WITNESS,co_presence,0.5,w239,Both witnessed in w239,undirected,
?,Claudon Estienne,0,CO_WITNESS,co_presence,0.5,w239,Both witnessed in w239,undirected,
?,Jean Martin le vieux,0,CO_WITNESS,co_presence,0.5,w239,Both witnessed in w239,undirected,
?,(6) Barbe fille de feu Rock Olry,0,CO_WITNESS,co_presence,0.5,w239,Both witnessed in w239,undirected,
?,Nicolas Thoussainct Grattain,0,CO_WITNESS,co_presence,0.5,w239,Both witnessed in w239,undirected,
?,Claudon Daguette,0,CO_WITNESS,co_presence,0.5,w239,Both witnessed in w239,undirected,
?,Jehennon veuve Claudon Roze de la Rochatte,0,CO_WITNESS,co_presence,0.5,w239,Both witnessed in w239,undirected,
?,Claudon du Haud,0,CO_WITNESS,co_presence,0.5,w239,Both witnessed in w239,undirected,
?,Claude Trexon,0,CO_WITNESS,co_presence,0.5,w240,Both witnessed in w240,undirected,
?,Jean Trexon,0,CO_WITNESS,co_presence,0.5,w240,Both witnessed in w240,undirected,
?,Nicolas Menusier de St Dié,0,CO_WITNESS,co_presence,0.5,w240,Both witnessed in w240,undirected,
?,Catherine servante à Colas Maimbourg de Ginfosse,0,CO_WITNESS,co_presence,0.5,w240,Both witnessed in w240,undirected,
Arnauld,"B 7394; witch 125, Pierrot Cosson and his wife Jeannotte, of Malzeville",0,TESTIFIED_AGAINST,accusation,0.95,w125,Witness 12 in trial w125,directed,1618.0
Arnauld,Jean Vinot,0,CO_WITNESS,co_presence,0.5,w125,Both witnessed in w125,undirected,
Arnauld,Noel Parisot,0,CO_WITNESS,co_presence,0.5,w125,Both witnessed in w125,undirected,
Arnauld,Nicolas Perrin,0,CO_WITNESS,co_presence,0.5,w125,Both witnessed in w125,undirected,
Margueritte femme Nicolas Aubert,"B 8693 no 3; witch 232; Barbelline femme Didier Antoine, d'Entre-deux-Eaux",0,TESTIFIED_AGAINST,accusation,0.95,w232,Witness 13 in trial w232,directed,1604.0
Colla Symeon,"B 5312 no 4; witch 094, Senelle femme du jeune Enguers, de Guinzeling",0,TESTIFIED_AGAINST,accusation,0.95,w094,Witness 16 in trial w094,directed,1584.0
veuve Pierre Louvet,drappier de St,0,CO_ACCUSED,co_presence,0.9,w328,Co-accused in w328,undirected,1609.0
Elizabetz,"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",0,TESTIFIED_AGAINST,accusation,0.95,w295,Witness 11 in trial w295,directed,1618.0
Schlosspetter,"B 5312 no 3; witch 093, Anon veuve Didier Vosgien de Bassing",0,TESTIFIED_AGAINST,accusation,0.95,w093,Witness 13 in trial w093,directed,1594.0
Barbeline femme Claude Micquel,"B 8535 no 3; witch 135, Zabel femme Olry Go de Rozieres",0,TESTIFIED_AGAINST,accusation,0.95,w135,Witness 5 in trial w135,directed,1603.0
Barbeline femme Claude Micquel,Jehenne femme Estienne Haxaire de Rozieres,0,CO_WITNESS,co_presence,0.5,w135,Both witnessed in w135,undirected,
Barbeline femme Claude Micquel,Estienne Haxaire de Rozieres,0,CO_WITNESS,co_presence,0.5,w135,Both witnessed in w135,undirected,
Nicolas le Maimbourg de Ginfosse,"B 8702 no 6; witch 245, Jennon veuve Demenge Napuel, de Raves",0,TESTIFIED_AGAINST,accusation,0.95,w245,Witness 11 in trial w245,directed,1609.0
Nicolas le Maimbourg de Ginfosse,Claude Jean Demenge Mengin,0,CO_WITNESS,co_presence,0.5,w245,Both witnessed in w245,undirected,
Nicolas le Maimbourg de Ginfosse,"Barbe femme Demenge le Maire
Reputation more than 20 years as witch",0,CO_WITNESS,co_presence,0.5,w245,Both witnessed in w245,undirected,
Nicolas le Maimbourg de Ginfosse,Jehennon,0,CO_WITNESS,co_presence,0.5,w245,Both witnessed in w245,undirected,
Claudon Jean le petit Nicolas de Neumont,"B 8721 no 8; Witch 300, Nicolas Claudon de Chastay (Ban-de-Sapt)",0,TESTIFIED_AGAINST,accusation,0.95,w300,Witness 28 in trial w300,directed,1618.0
Beniste femme Dieudonné Valence,"B 8717 no 3; witch 286, Catherine femme Benoist Mathieu de la Grandfosse",0,TESTIFIED_AGAINST,accusation,0.95,w286,Witness 4 in trial w286,directed,1616.0
Beniste femme Dieudonné Valence,Claudatte femme Claudon le Charpentier of la Grandefosse,0,CO_WITNESS,co_presence,0.5,w286,Both witnessed in w286,undirected,
Beniste femme Dieudonné Valence,Jehennon fille Claudon Agathe de la Grandefosse,0,CO_WITNESS,co_presence,0.5,w286,Both witnessed in w286,undirected,
Beniste femme Dieudonné Valence,Jean Musnier,0,CO_WITNESS,co_presence,0.5,w286,Both witnessed in w286,undirected,
Beniste femme Dieudonné Valence,Mathieu Sterby de la Grandefosse,0,CO_WITNESS,co_presence,0.5,w286,Both witnessed in w286,undirected,
Beniste femme Dieudonné Valence,Jean Pieron de la Grandefosse,0,CO_WITNESS,co_presence,0.5,w286,Both witnessed in w286,undirected,
Beniste femme Dieudonné Valence,Jehennon wife of previous witness,0,CO_WITNESS,co_presence,0.5,w286,Both witnessed in w286,undirected,
Beniste femme Dieudonné Valence,Benay Grand Maire de la bonne fontaine,0,CO_WITNESS,co_presence,0.5,w286,Both witnessed in w286,undirected,
Elie femme Colas d'Avould,"B 8719 no 1; witch 290, Mongeatte femme Jean Johel de Moyenmoutier",0,TESTIFIED_AGAINST,accusation,0.95,w290,Witness 10 in trial w290,directed,1617.0
Elie femme Colas d'Avould,Marguitte fille feu Jean Voirin de Moyenmoutier,0,CO_WITNESS,co_presence,0.5,w290,Both witnessed in w290,undirected,
Jean Claudon de Domjevin,"B 3327 no 1; witch 037, Chrestienne femme Nicolas Barret de Domjevin",0,TESTIFIED_AGAINST,accusation,0.95,w037,Witness 4 in trial w037,directed,1603.0
Jean Claudon de Domjevin,"B 3327 no 2; Witch 038, Barbelline femme Jean Goudot, de Domjevin",0,TESTIFIED_AGAINST,accusation,0.95,w038,Witness 4 in trial w038,directed,1603.0
Jean Claudon de Domjevin,Catherine femme Didier Thirion,0,CO_WITNESS,co_presence,0.5,w037,Both witnessed in w037,undirected,
Jean Claudon de Domjevin,Catherine femme Didier Thirion,1,CO_WITNESS,co_presence,0.5,w038,Both witnessed in w038,undirected,
Jean Claudon de Domjevin,Jean Virion de Domjevin,0,CO_WITNESS,co_presence,0.5,w037,Both witnessed in w037,undirected,
Jean Claudon de Domjevin,Bastienne femme Colas Simonatte de Domjevin,0,CO_WITNESS,co_presence,0.5,w037,Both witnessed in w037,undirected,
Jean Claudon de Domjevin,Jean Henry de Domjevin,0,CO_WITNESS,co_presence,0.5,w037,Both witnessed in w037,undirected,
Jean Claudon de Domjevin,Jean Henry de Domjevin,1,CO_WITNESS,co_presence,0.5,w038,Both witnessed in w038,undirected,
Jean Claudon de Domjevin,Nicolas Goudot de Domjevin,0,CO_WITNESS,co_presence,0.5,w037,Both witnessed in w037,undirected,
Jean Claudon de Domjevin,Nicolas Bon Demenge de Domjevin,0,CO_WITNESS,co_presence,0.5,w037,Both witnessed in w037,undirected,
Jean Claudon de Domjevin,Allison Colas Estienne de Domjevin,0,CO_WITNESS,co_presence,0.5,w037,Both witnessed in w037,undirected,
Jean Claudon de Domjevin,Zabel femme Didier Pierson de Domjevin,0,CO_WITNESS,co_presence,0.5,w038,Both witnessed in w038,undirected,
Jean Claudon de Domjevin,Annel veuve Virion Bergier de Domjevin,0,CO_WITNESS,co_presence,0.5,w038,Both witnessed in w038,undirected,
Jean Claudon de Domjevin,Jehenne veuve Jean Colas de Domjevin,0,CO_WITNESS,co_presence,0.5,w038,Both witnessed in w038,undirected,
Jean Claudon de Domjevin,Jehenne fille Jean Claudon de Domjevin,0,CO_WITNESS,co_presence,0.5,w038,Both witnessed in w038,undirected,
Lucie veuve Claudon Nicolle,"B 3333; witch 042, Chretienne Simon, femme Demenge Fennay, de Domjevin",0,TESTIFIED_AGAINST,accusation,0.95,w042,Witness 3 in trial w042,directed,1607.0
Lucie veuve Claudon Nicolle,Jehenne fille Demenge Nicklauss,0,CO_WITNESS,co_presence,0.5,w042,Both witnessed in w042,undirected,
Lucie veuve Claudon Nicolle,Catherine femme Demenge Nicklauss,0,CO_WITNESS,co_presence,0.5,w042,Both witnessed in w042,undirected,
Lucie veuve Claudon Nicolle,Jean Nicklauss,0,CO_WITNESS,co_presence,0.5,w042,Both witnessed in w042,undirected,
Lucie veuve Claudon Nicolle,Henry Mulnier dit le Clerc,0,CO_WITNESS,co_presence,0.5,w042,Both witnessed in w042,undirected,
Lucie veuve Claudon Nicolle,Jean le Clerc,0,CO_WITNESS,co_presence,0.5,w042,Both witnessed in w042,undirected,
Lucie veuve Claudon Nicolle,Annon femme Henry Mulnier,0,CO_WITNESS,co_presence,0.5,w042,Both witnessed in w042,undirected,
Lucie veuve Claudon Nicolle,Pierson Nicolle,0,CO_WITNESS,co_presence,0.5,w042,Both witnessed in w042,undirected,
Lucie veuve Claudon Nicolle,Demenge de Chesnoy,0,CO_WITNESS,co_presence,0.5,w042,Both witnessed in w042,undirected,
Barbe Symon femme Laurent François,"B 7326; witch 123, Isabillon femme Jean Parmentier, de la Neufville-devant-Nancy",0,TESTIFIED_AGAINST,accusation,0.95,w123,Witness 24 in trial w123,directed,1599.0
Jean fils feu Jean Babel,"B 8707 no 4; witch 256, Jean Gerardin de la Voivrelle",0,TESTIFIED_AGAINST,accusation,0.95,w256,Witness 20 in trial w256,directed,1611.0
Jehan Simon de la Chapelle,"Witch 159: B8677 no 5, Blason Charpentier de La Chapelle",0,TESTIFIED_AGAINST,accusation,0.95,w159,Witness 12 in trial w159,directed,1596.0
Chrestienne femme a Bernard Faltin de Blamont,"B 3317 no 2; Witch 024, Jennon veuve Didier Ramaixe alias Virtemberg, de Blamont",0,TESTIFIED_AGAINST,accusation,0.95,w024,Witness 9 in trial w024,directed,1599.0
Dedielle femme Michiel Jean Michiel,"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",0,TESTIFIED_AGAINST,accusation,0.95,w148,Witness 8 in trial w148,directed,1592.0
Dedielle femme Michiel Jean Michiel,Claude Jean Didier de Laulnay,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Dedielle femme Michiel Jean Michiel,Catherine de Launay,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Dedielle femme Michiel Jean Michiel,Colas Demenge la Poire,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Jean Thieriot de la Fosse,"B 8708 no 7; witch 268, Marguitte femme Girardin Haxo de La Fosse",0,TESTIFIED_AGAINST,accusation,0.95,w268,Witness 13 in trial w268,directed,1611.0
Jean Thieriot de la Fosse,"Witch 271; B 8708 no 10, Jean Gerardin Haxo de la Fosse",0,TESTIFIED_AGAINST,accusation,0.95,w271,Witness 6 in trial w271,directed,1611.0
Jean Thieriot de la Fosse,Mengeon Colin du Vivier,0,CO_WITNESS,co_presence,0.5,w268,Both witnessed in w268,undirected,
Jean Thieriot de la Fosse,Nicolas Aulbry de la Fosse,0,CO_WITNESS,co_presence,0.5,w271,Both witnessed in w271,undirected,
Jean Thieriot de la Fosse,Aulbry Colas Aulbry de la Fosse,0,CO_WITNESS,co_presence,0.5,w271,Both witnessed in w271,undirected,
Jean Thieriot de la Fosse,Jean Francois de la Fosse,0,CO_WITNESS,co_presence,0.5,w271,Both witnessed in w271,undirected,
Jean Thieriot de la Fosse,Jennon femme Estienne Carriot du Vivier,0,CO_WITNESS,co_presence,0.5,w271,Both witnessed in w271,undirected,
Jennon femme Demenge des Boeufs,"B 8702 no 8; witch 247, Sebille femme Etienne Pescheur, de La Neuveville-les-Raon",0,TESTIFIED_AGAINST,accusation,0.95,w247,Witness 6 in trial w247,directed,1609.0
Jennon femme Demenge des Boeufs,"B 8702 no 9; witch 248, Jean Pierron Geliat, de la Neuveville-les-Raon",0,TESTIFIED_AGAINST,accusation,0.95,w248,Witness 12 in trial w248,directed,1609.0
Jennon femme Demenge des Boeufs,Margueritte femme Demenge Mathieu,0,CO_WITNESS,co_presence,0.5,w247,Both witnessed in w247,undirected,
Jennon femme Demenge des Boeufs,Jean Dauphin,0,CO_WITNESS,co_presence,0.5,w247,Both witnessed in w247,undirected,
Jennon femme Demenge des Boeufs,"Sabel femme Demenge Ganaire
Husbands had been to law over 'retraicte' of a plot ",0,CO_WITNESS,co_presence,0.5,w247,Both witnessed in w247,undirected,
Jennon femme Demenge des Boeufs,Didier Chottey,0,CO_WITNESS,co_presence,0.5,w247,Both witnessed in w247,undirected,
Jennon femme Demenge des Boeufs,Mongeatte femme Colas Labbé,0,CO_WITNESS,co_presence,0.5,w247,Both witnessed in w247,undirected,
Jennon femme Demenge des Boeufs,Claudon Houchart,0,CO_WITNESS,co_presence,0.5,w248,Both witnessed in w248,undirected,
B 8708 no 1; witch 262,Agathe femme Claudon Urbain,0,CO_ACCUSED,co_presence,0.9,w262,Co-accused in w262,undirected,1611.0
B 8708 no 1; witch 262,de Sachemont,0,CO_ACCUSED,co_presence,0.9,w262,Co-accused in w262,undirected,1611.0
Fleurant Blaise de Hernafain,"Witch 280: B8715 no 3, Claudatte femme Lambert Claudel Ferry de Vicq",0,TESTIFIED_AGAINST,accusation,0.95,w280,Witness 8 in trial w280,directed,1615.0
Hannix fille Husson Bourguignon,"B 4103; witch 076, Didelon l'Huillier et sa femme Bietrix, de Gripport",0,TESTIFIED_AGAINST,accusation,0.95,w076,Witness 18 in trial w076,directed,1615.0
Hannix fille Husson Bourguignon,Claude fille Thierry Maillard,0,CO_WITNESS,co_presence,0.5,w076,Both witnessed in w076,undirected,
Hannix fille Husson Bourguignon,Françoise veuve Demenge Maillard,0,CO_WITNESS,co_presence,0.5,w076,Both witnessed in w076,undirected,
Hannix fille Husson Bourguignon,Nicolas fils Claude Noel,0,CO_WITNESS,co_presence,0.5,w076,Both witnessed in w076,undirected,
Hannix fille Husson Bourguignon,Jean Moyne,0,CO_WITNESS,co_presence,0.5,w076,Both witnessed in w076,undirected,
Hannix fille Husson Bourguignon,Cesar Maillard,0,CO_WITNESS,co_presence,0.5,w076,Both witnessed in w076,undirected,
Hannix fille Husson Bourguignon,Magdelaine,0,CO_WITNESS,co_presence,0.5,w076,Both witnessed in w076,undirected,
Demenge Jacquot de la Neufville,"B 8736; witch 314, Sebille fille Didier Pescheur de la Neufville les Raon",0,TESTIFIED_AGAINST,accusation,0.95,w314,Witness 5 in trial w314,directed,1626.0
Demenge Jacquot de la Neufville,Chrestien Brabant de la Neufville,0,CO_WITNESS,co_presence,0.5,w314,Both witnessed in w314,undirected,
Demenge Jacquot de la Neufville,Didier Mengin de la Neufville,0,CO_WITNESS,co_presence,0.5,w314,Both witnessed in w314,undirected,
Demenge Jacquot de la Neufville,Demenge Mathieu cordonnier de la Neufville,0,CO_WITNESS,co_presence,0.5,w314,Both witnessed in w314,undirected,
Demenge Jacquot de la Neufville,Nicolas Blaisotte de la Neufville,0,CO_WITNESS,co_presence,0.5,w314,Both witnessed in w314,undirected,
Nicolas Sellier de Charmes,"B 4077 no 2 Witch 070, Claudon la Romaine",0,TESTIFIED_AGAINST,accusation,0.95,w070,Witness 6 in trial w070,directed,1596.0
Nicolas Sellier de Charmes,Barbe Sellier,0,CO_WITNESS,co_presence,0.5,w070,Both witnessed in w070,undirected,
Nicolas Sellier de Charmes,Claude Rossel de Charmes,0,CO_WITNESS,co_presence,0.5,w070,Both witnessed in w070,undirected,
Jean Voirin,"B 8721 no 6. Witch 298, Catherine femme Jean le Maire, of Le Paire (Saulcy-sur-",0,TESTIFIED_AGAINST,accusation,0.95,w298,Witness 7 in trial w298,directed,1618.0
Jean Voirin,Colas Collin,0,CO_WITNESS,co_presence,0.5,w298,Both witnessed in w298,undirected,
Jean Voirin,Jean le Maire le viel,0,CO_WITNESS,co_presence,0.5,w298,Both witnessed in w298,undirected,
Jean Voirin,Demenge Jacquat,0,CO_WITNESS,co_presence,0.5,w298,Both witnessed in w298,undirected,
Chrepien Cesar Chrepien,"Witch 145: B8667 no 7, Colas Mengin de Saint Remy",0,TESTIFIED_AGAINST,accusation,0.95,w145,Witness 31 in trial w145,directed,1591.0
Laurent Maurisse de Bathelemont,"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",0,TESTIFIED_AGAINST,accusation,0.95,w106,Witness 6 in trial w106,directed,1610.0
Dieudonnée femme Jacquin Frampart,"B 8687 no 4; witch 202, Penthecoste femme Georgeon Didier Miette de la Rochatte",0,TESTIFIED_AGAINST,accusation,0.95,w202,Witness 6 in trial w202,directed,1601.0
Dieudonnée femme Jacquin Frampart,Clemence femme Hidoulf Cognolle,0,CO_WITNESS,co_presence,0.5,w202,Both witnessed in w202,undirected,
Dieudonnée femme Jacquin Frampart,Georgeon Jacot Didier Simon,0,CO_WITNESS,co_presence,0.5,w202,Both witnessed in w202,undirected,
Dieudonnée femme Jacquin Frampart,Colas de Lavelline,0,CO_WITNESS,co_presence,0.5,w202,Both witnessed in w202,undirected,
Dieudonnée femme Jacquin Frampart,Mengeotte femme Colas Rolat,0,CO_WITNESS,co_presence,0.5,w202,Both witnessed in w202,undirected,
Meline femme Anthoine Marlier,"B 3323 no 1; witch 025, Jeannotte veuve Claudon Toussaint, de Leintrey.",0,TESTIFIED_AGAINST,accusation,0.95,w025,Witness 14 in trial w025,directed,1601.0
Pieron Jean Pieron,B 8684 no 10. Witch 197; Claudatte veuve Mengeon Henry and Dieudonnée femme,0,TESTIFIED_AGAINST,accusation,0.95,w197,Witness 30 in trial w197,directed,1600.0
Claudel Remy du Void de Belmont,"B 3728; witch 055, Jeanne veuve Valentin Claude Thihard du Void de Belmont",0,TESTIFIED_AGAINST,accusation,0.95,w055,Witness 27 in trial w055,directed,1591.0
Valentine femme Jean Michiel,"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",0,TESTIFIED_AGAINST,accusation,0.95,w295,Witness 24 in trial w295,directed,1618.0
Valentine femme Jean Michiel,"B 8721 no 5; Witch 297, Beniste le Houff de Norbepaire (Wisembach)",0,TESTIFIED_AGAINST,accusation,0.95,w297,Witness 9 in trial w297,directed,1618.0
Valentine femme Jean Michiel,Colas Jean Jaclin,0,CO_WITNESS,co_presence,0.5,w297,Both witnessed in w297,undirected,
veuve Demenge Vaultrin,de Leintrey,0,CO_ACCUSED,co_presence,0.9,w028,Co-accused in w028,undirected,1602.0
Nicolas Brabant,"B 8535 no 4; witch 136, Mengin Lamourou paistre de Rozieres",0,TESTIFIED_AGAINST,accusation,0.95,w136,Witness 2 in trial w136,directed,1603.0
Nicolas Brabant,Demenge Gouhier,0,CO_WITNESS,co_presence,0.5,w136,Both witnessed in w136,undirected,
Nicolas Brabant,Lucye femme du precedent,0,CO_WITNESS,co_presence,0.5,w136,Both witnessed in w136,undirected,
Nicolas Brabant,Yollan femme du precedent,0,CO_WITNESS,co_presence,0.5,w136,Both witnessed in w136,undirected,
Nicolas Brabant,Didier Malenser de Rozieres,0,CO_WITNESS,co_presence,0.5,w136,Both witnessed in w136,undirected,
Nicolas Brabant,Nicolle femme du precedent,0,CO_WITNESS,co_presence,0.5,w136,Both witnessed in w136,undirected,
Nicolas Brabant,Honnorable homme Didier Lallemant Controlleur,0,CO_WITNESS,co_presence,0.5,w136,Both witnessed in w136,undirected,
Nicolas Brabant,Annette femme honnorable homme Claude Vaultrin,0,CO_WITNESS,co_presence,0.5,w136,Both witnessed in w136,undirected,
Colas Le Maire de Leusse,"B 8693 no 1; witch 230, Marion femme Demenge Husson, de Colroy",0,TESTIFIED_AGAINST,accusation,0.95,w230,Witness 35 in trial w230,directed,1603.0
Jacquatte veuve Vaultrin Contal,"B 8979 no 5; witch 328, Jehanne Villaume, veuve Pierre Louvet, drappier de St",0,TESTIFIED_AGAINST,accusation,0.95,w328,Witness 4 in trial w328,directed,1609.0
Jacquatte veuve Vaultrin Contal,Barbe femme Isaac Farré,0,CO_WITNESS,co_presence,0.5,w328,Both witnessed in w328,undirected,
Jacquatte veuve Vaultrin Contal,Claudon veuve Aubertin Laurent,0,CO_WITNESS,co_presence,0.5,w328,Both witnessed in w328,undirected,
Colas Mandray de Raves,"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",0,TESTIFIED_AGAINST,accusation,0.95,w148,Witness 3 in trial w148,directed,1592.0
Colas Mandray de Raves,Bastienne veuve feu le maire Claudel le maimbourg,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Colas Mandray de Raves,Jean Comand,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Colas Mandray de Raves,Catherine veuve Jacot Rouyer de Rayegoutte,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Colas Mandray de Raves,Dedielle femme Michiel Jean Michiel,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Colas Mandray de Raves,Claude Jean Didier de Laulnay,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Colas Mandray de Raves,Catherine de Launay,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Colas Mandray de Raves,Colas Demenge la Poire,0,CO_WITNESS,co_presence,0.5,w148,Both witnessed in w148,undirected,
Catherine femme a Jean Reillemant de la Chapelle,"Witch 159: B8677 no 5, Blason Charpentier de La Chapelle",0,TESTIFIED_AGAINST,accusation,0.95,w159,Witness 25 in trial w159,directed,1596.0
George Mengin de La Bolle,"B 8667 No 5 (1) Witch 143, Jean Diez",0,TESTIFIED_AGAINST,accusation,0.95,w143,Witness 17 in trial w143,directed,1592.0
Mengeotte femme Jacot Blaise,du Viel Marché,0,CO_ACCUSED,co_presence,0.9,w199,Co-accused in w199,undirected,1601.0
Henry Errard,"B 4495; witch 082, Claudon la Blanche, veuve Claudon Aulbry, de St Prancher",0,TESTIFIED_AGAINST,accusation,0.95,w082,Witness 3 in trial w082,directed,1584.0
Henry Errard,Didier Wiriot,0,CO_WITNESS,co_presence,0.5,w082,Both witnessed in w082,undirected,
Henry Errard,Isabel femme Mengin Wiriot,0,CO_WITNESS,co_presence,0.5,w082,Both witnessed in w082,undirected,
Henry Errard,Jannotte femme Jean Vidier,0,CO_WITNESS,co_presence,0.5,w082,Both witnessed in w082,undirected,
Henry Errard,Alix femme Claudon Bonnier,0,CO_WITNESS,co_presence,0.5,w082,Both witnessed in w082,undirected,
Henry Errard,Mathiotte veuve Claudin Gegoust,0,CO_WITNESS,co_presence,0.5,w082,Both witnessed in w082,undirected,
Henry Errard,Laurence femme au maire Panchras Vincenot,0,CO_WITNESS,co_presence,0.5,w082,Both witnessed in w082,undirected,
Henry Errard,Barbe femme Didier Remy,0,CO_WITNESS,co_presence,0.5,w082,Both witnessed in w082,undirected,
Henry Errard,Famion femme Didier Wiriot,0,CO_WITNESS,co_presence,0.5,w082,Both witnessed in w082,undirected,
Jean des Auches de la Chapelle,"Witch 160: B8677 no 6, Blasotte femme Claudon Collon de La Chapelle",0,TESTIFIED_AGAINST,accusation,0.95,w160,Witness 44 in trial w160,directed,1596.0
Jean des Auches de la Chapelle,"Witch 163; B8667 no 9, Jehenne femme Demenge le Maire, de La Chapelle",0,TESTIFIED_AGAINST,accusation,0.95,w163,Witness 7 in trial w163,directed,1596.0
Jean des Auches de la Chapelle,Claudon Valtin de la Chapelle,0,CO_WITNESS,co_presence,0.5,w163,Both witnessed in w163,undirected,
Jean des Auches de la Chapelle,Idoult Marie de la Chapelle,0,CO_WITNESS,co_presence,0.5,w163,Both witnessed in w163,undirected,
Jean des Auches de la Chapelle,Claudon Jean Claude de la Chapelle,0,CO_WITNESS,co_presence,0.5,w163,Both witnessed in w163,undirected,
Jean des Auches de la Chapelle,Jean Simon de la Chapelle,0,CO_WITNESS,co_presence,0.5,w163,Both witnessed in w163,undirected,
Claude Moictrier,"B 6723 no 1: witch 107, Mengette femme Jean Cachette de Flin",0,TESTIFIED_AGAINST,accusation,0.95,w107,Witness 15 in trial w107,directed,1602.0
Nicolas Claude Girard,"B 8707 no 7; witch 259, Jean Seigaire de Nompatelize",0,TESTIFIED_AGAINST,accusation,0.95,w259,Witness 7 in trial w259,directed,1599.0
Benay Grand Maire de la bonne fontaine,"B 8717 no 3; witch 286, Catherine femme Benoist Mathieu de la Grandfosse",0,TESTIFIED_AGAINST,accusation,0.95,w286,Witness 14 in trial w286,directed,1616.0
"Mengeon femme Phillippe Masson
2 years before her daughter Jacquette became ill","B 3753; witch 056, Claudette Clauchepied d'Epinal, arretée à Bruyères",0,TESTIFIED_AGAINST,accusation,0.95,w056,Witness 11 in trial w056,directed,1601.0
Jean Colas Lienard,"B 8682 no 6; witch 184, Colatte veuve Jean le Parmentier, de Girompaire",0,TESTIFIED_AGAINST,accusation,0.95,w184,Witness 1 in trial w184,directed,1598.0
Jean Colas Lienard,"Barbelline femme Jean Claudel
Death of someone to whom she had given bread",0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
Jean Colas Lienard,Jehenne veuve Colas Chalgotte,0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
Jean Colas Lienard,Margueritte femme George Jean le Clerc,0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
Jean Colas Lienard,Bastien Mengeon Bastien,0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
Jean Colas Lienard,"Colas Jean le Maire
Missing section",0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
Jean Colas Lienard,Jennon fille Mengeon Bastien,0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
Jean Colas Lienard,Claudatte femme Jean Henry,0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
Jean Colas Lienard,Jehennon femme Jean Hugo,0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
Jean Colas Lienard,Jacquot Jean le Maire,0,CO_WITNESS,co_presence,0.5,w184,Both witnessed in w184,undirected,
